drug_name,reaction_name,count
JAKAFI,Drug administration error,2
JAKAFI,Disease progression,2
JAKAFI,Dry eye,2
JAKAFI,Gout,2
JAKAFI,Hypoaesthesia,2
JAKAFI,Increased appetite,2
JAKAFI,Malaise,2
NUVARING,Device expulsion,2
NEXPLANON,Device breakage,2
PARAGARD 380A,Embedded device,2
JAKAFI,Feeling abnormal,2
AMITRIPTYLINE,Unevaluable event,2
AMITRIPTYLINE,Pain,2
JAKAFI,Pyrexia,2
AUBAGIO,Muscle spasms,2
AZILECT,Hyperhidrosis,2
AZACITIDINE INJECTABLE,Febrile neutropenia,2
JAKAFI,Oedema peripheral,2
JAKAFI,Muscle spasms,2
JAKAFI,Nasopharyngitis,2
JAKAFI,Memory impairment,2
MIRENA,Device issue,2
LYRICA,Back pain,2
LYRICA,Dizziness,2
LYRICA,Drug effect incomplete,2
LETAIRIS,Wrist fracture,2
JAKAFI,Night sweats,2
LYRICA,Swelling,2
LYRICA,Drug intolerance,2
LYRICA,Feeling abnormal,2
DIANEAL LOW CALCIUM PERITONEAL DIALYSIS SOLUTION WITH DEXTROSE,Gangrene,2
DIVALPROEX SODIUM,Convulsion,2
EFFEXOR XR,Dizziness,2
EFFEXOR,Dizziness,2
"FORANE (ISOFLURANE, USP)",Hyperthermia malignant,2
GLEEVEC,Death,2
GLIVEC,Pyrexia,2
HUMIRA,Headache,2
JAKAFI,Alopecia,2
HUMIRA,Dyspnoea,2
HUMIRA,Myocardial infarction,2
HUMIRA,Rectal haemorrhage,2
JAKAFI,Adverse drug reaction,2
JAKAFI,Blister,2
MIRENA,Anxiety,2
MIRENA,Depression,2
JAKAFI,Constipation,2
ONFI,Convulsion,2
NEXPLANON,Product quality issue,2
JAKAFI,Ear congestion,2
DEPAKOTE,Pain,2
DEPAKOTE,Neutrophil count decreased,2
DEPAKOTE,Product quality issue,2
DEPAKOTE,Speech disorder,2
DEPAKOTE,Thinking abnormal,2
DEPAKOTE,Suicidal ideation,2
DEPAKOTE ER,Frustration,2
DIANEAL LOW CALCIUM,Hypophagia,2
DEPAKOTE ER,Anger,2
DIANEAL LOW CALCIUM,Pneumonia,2
DEPAKOTE ER,Unevaluable event,2
DEPAKOTE SPRINKLE,Therapy change,2
SANDOSTATIN LAR DEPOT,Gait disturbance,2
SANDOSTATIN LAR DEPOT,Fall,2
DEPAKOTE,Grand mal convulsion,2
DEPAKOTE,Leukopenia,2
DEPAKOTE,Lethargy,2
DEPAKOTE,Joint swelling,2
DEPAKOTE,Irritability,2
CEFTRIAXONE,Foetal death,2
DEPAKOTE,Local swelling,2
DEPAKOTE,Memory impairment,2
DEPAKOTE,Pancreatitis,2
DEPAKOTE,Unevaluable event,2
PREDNISONE,Vomiting,2
RIBAVIRIN,Myalgia,2
ACLASTA,Malaise,2
SANDOSTATIN LAR,Death,2
CEFTRIAXONE,Meconium stain,2
PARACETAMOLO,Diarrhoea,2
PARACETAMOLO,C-reactive protein increased,2
PARACETAMOLO,Blood creatinine increased,2
PARACETAMOLO,Abdominal pain,2
RIBAVIRIN,Chills,2
PREDNISONE,Headache,2
DEPAKOTE,Drug level below therapeutic,2
DEPAKOTE,Convulsion,2
DEPAKOTE,Congenital cardiovascular anomaly,2
DEPAKOTE,Confusional state,2
DEPAKOTE,Dry mouth,2
DEPAKOTE,Drug level increased,2
DEPAKOTE,Crying,2
CLOZARIL,Neutrophil count increased,2
YAZ,Emotional distress,2
5-FLUOROURACIL,Abdominal pain,1
5-FLUOROURACIL,Nausea,1
ZYTIGA,Pyrexia,1
ZYTIGA,Prostatic specific antigen increased,1
ZYTIGA,Platelet count decreased,1
ZYTIGA,Bone pain,1
ZOLPIDEM SANDOZ,Medication error,1
ZOLPIDEM SANDOZ,Incorrect dose administered,1
ZOLPIDEM SANDOZ,Drug prescribing error,1
ZOLPIDEM SANDOZ,Disorientation,1
ZOLINZA,Product packaging quantity issue,1
ZOLINZA,No adverse event,1
ACLASTA,Mobility decreased,1
ACLASTA,Myalgia,1
ACLASTA,Nasal congestion,1
ACLASTA,Nasopharyngitis,1
ACLASTA,Nausea,1
ACLASTA,Neoplasm malignant,1
ACLASTA,Nerve compression,1
