reaction_key,reaction_name
296,Erection increased
297,Eructation
298,Erysipelas
299,Erythema
300,Excessive cerumen production
301,Exercise tolerance decreased
302,Expired drug administered
303,Exposure during pregnancy
304,Exposure to contaminated water
305,Extrasystoles
306,Eye disorder
307,Eye haemorrhage
308,Eye movement disorder
309,Eye pain
310,Face oedema
311,Facial pain
312,Faecal incontinence
313,Faeces pale
314,Failure to thrive
315,Fall
316,Fallot^s tetralogy
317,Fat redistribution
318,Fatigue
319,Fear
320,Fear of death
321,Febrile convulsion
322,Febrile neutropenia
323,Feeling abnormal
324,Feeling cold
325,Feeling hot
326,Feeling jittery
327,Femoral neck fracture
328,Femur fracture
329,Fibroadenoma of breast
330,Fibrosis
331,Flat affect
332,Flatulence
333,Fluid overload
334,Fluid retention
335,Flushing
336,Foetal anticonvulsant syndrome
337,Foetal cardiac disorder
338,Foetal death
339,Foetal distress syndrome
340,Foetal exposure during pregnancy
341,Foetal heart rate decreased
342,Foetal heart rate increased
343,Foot deformity
344,Foot fracture
345,Frustration
346,Full blood count abnormal
347,Gait disturbance
348,Galactorrhoea
349,Gamma-glutamyltransferase increased
350,Gangrene
351,Gastric cancer
352,Gastric disorder
353,Gastric haemorrhage
354,Gastritis erosive
355,Gastroenteritis viral
356,Gastrointestinal haemorrhage
357,Gastrointestinal obstruction
358,Gastrointestinal stromal tumour
359,Gastrointestinal toxicity
360,Gastrooesophageal reflux disease
361,General physical health deterioration
362,Generalised erythema
363,Generalised oedema
364,Gingival bleeding
365,Gingival erythema
366,Gingival hyperplasia
367,Gingival inflammation
368,Gingival pain
369,Gingival recession
370,Gingivitis
371,Glaucoma
372,Gout
373,Graft versus host disease
374,Grand mal convulsion
375,Granulocytopenia
376,Growth retardation
377,Haemarthrosis
378,Haematochezia
379,Haematocrit decreased
380,Haematoma
381,Haemoglobin decreased
382,Haemoglobinuria
383,Haemoptysis
384,Haemorrhage
385,Hair disorder
386,Hair growth abnormal
387,Hair texture abnormal
388,Hallucination
389,"Hallucination, auditory"
390,"Hallucination, visual"
391,Head injury
392,Head titubation
393,Headache
394,Heart rate decreased
395,Heart rate increased
396,Helicobacter infection
397,Hemiparesis
398,Hepatic enzyme decreased
399,Hepatic enzyme increased
400,Hepatic failure
401,Hepatic lesion
402,Hepatic mass
403,Hepatic neoplasm
404,Hepatitis C
405,Hepatocellular injury
406,Hepatotoxicity
407,Hereditary angioedema
408,Hiccups
409,Hip fracture
410,Histiocytosis haematophagic
411,Hospice care
412,Hospitalisation
413,Hot flush
414,Hyperammonaemia
415,Hyperglycaemia
416,Hyperhidrosis
417,Hyperkalaemia
418,Hyperlipidaemia
419,Hypersensitivity
420,Hypertension
421,Hyperthermia malignant
422,Hyperthyroidism
423,Hyperventilation
424,Hypoacusis
425,Hypoaesthesia
426,Hypokinesia
427,Hypomagnesaemia
428,Hyponatraemia
429,Hypophagia
430,Hypotension
431,Hypothyroidism
432,Hypoxia
433,Hysterectomy
434,Ileectomy
435,Ileus paralytic
436,Immune thrombocytopenic purpura
437,Impaired healing
438,Implant site bruising
439,Implant site erythema
440,Implant site irritation
441,Implant site pruritus
442,Inappropriate antidiuretic hormone secretion
443,Inappropriate schedule of drug administration
444,Incontinence
445,Incorrect dosage administered
446,Incorrect dose administered
447,Incorrect route of drug administration
448,Increased appetite
449,Increased bronchial secretion
450,Increased tendency to bruise
451,Increased viscosity of bronchial secretion
452,Infected cyst
453,Infection
454,Inflammation
455,Influenza
456,Influenza like illness
457,Infusion related reaction
458,Infusion site erythema
459,Infusion site infection
460,Inguinal hernia
461,Injection site bruising
462,Injection site discolouration
463,Injection site haemorrhage
464,Injection site pain
465,Injection site pruritus
466,Injection site rash
467,Injection site reaction
468,Injury
469,Insomnia
470,Intentional overdose
471,International normalised ratio fluctuation
472,International normalised ratio increased
473,Interstitial lung disease
474,Intervertebral disc disorder
475,Intervertebral disc protrusion
476,Intestinal haemorrhage
477,Intestinal obstruction
478,Intra-uterine contraceptive device insertion
479,Intramedullary rod insertion
480,Intraocular pressure increased
481,Intraventricular haemorrhage neonatal
482,Investigation
483,Iron deficiency anaemia
484,Irritability
485,Jaundice
486,Joint dislocation
487,Joint injury
488,Joint swelling
489,Jugular vein thrombosis
490,Kaposi^s sarcoma
491,Laboratory test abnormal
492,Laceration
493,Lacrimation increased
494,Large intestine polyp
495,Laryngeal oedema
496,Left ventricular dysfunction
497,Lethargy
498,Leukocytosis
499,Leukopenia
500,Ligament sprain
501,Limb discomfort
502,Limb traumatic amputation
503,Linear IgA disease
504,Lip discolouration
505,Lip dry
506,Lip swelling
507,Lipase increased
508,Lipodystrophy acquired
509,Listeriosis
510,Liver disorder
511,Liver function test abnormal
512,Local swelling
513,Localised infection
514,Localised oedema
515,Loss of consciousness
516,Loss of proprioception
517,Low birth weight baby
518,Low turnover osteopathy
519,Lower gastrointestinal haemorrhage
520,Lower limb fracture
521,Lower respiratory tract infection bacterial
522,Lung disorder
523,Lung infection
524,Lung transplant
525,Lymph node pain
526,Lymphadenopathy
527,Lymphocyte count decreased
528,Macroglossia
529,Major depression
530,Malaise
531,Malignant neoplasm progression
532,Malnutrition
533,Mania
534,Mass
535,Maternal exposure during pregnancy
536,Mean platelet volume decreased
537,Meconium stain
538,Medical device complication
539,Medication error
540,Medication residue present
541,Melaena
542,Memory impairment
543,Meningitis
544,Menorrhagia
545,Menstruation delayed
546,Menstruation irregular
547,Mental disorder
548,Mental impairment
549,Mental status changes
550,Metastases to bone
551,Metastases to liver
552,Metastases to lung
553,Metastases to lymph nodes
554,Metastases to pleura
555,Metastases to retroperitoneum
556,Metastases to spine
557,Metastases to thorax
558,Metastasis
559,Metrorrhagia
560,Middle insomnia
561,Migraine
562,Mixed liver injury
563,Mobility decreased
564,Monocyte count decreased
565,Mood altered
566,Mouth haemorrhage
567,Movement disorder
568,Mucosal inflammation
569,Multi-organ failure
570,Multifocal motor neuropathy
571,Multiple injuries
572,Multiple sclerosis
573,Multiple sclerosis relapse
574,Muscle abscess
575,Muscle atrophy
576,Muscle disorder
577,Muscle spasms
578,Muscular weakness
579,Musculoskeletal chest pain
580,Musculoskeletal pain
581,Musculoskeletal stiffness
582,Myalgia
583,Mycobacterium tuberculosis complex test positive
584,Myelodysplastic syndrome
585,Myocardial infarction
586,Myoclonus
587,Nail toxicity
588,Nasal congestion
589,Nasal discomfort
590,Nasal disorder
591,Nasal dryness
592,Nasopharyngitis
593,Nausea
594,Neck pain
595,Neoplasm malignant
596,Neoplasm progression
597,Nephrogenic systemic fibrosis
598,Nephrolithiasis
599,Nephropathy toxic
600,Nerve compression
601,Nervousness
602,Neuralgia
603,Neurogenic bladder
604,Neurological decompensation
605,Neuropathy peripheral
606,Neurotoxicity
607,Neutropenia
608,Neutrophil count decreased
609,Neutrophil count increased
610,Night sweats
611,Nightmare
612,No adverse event
613,No therapeutic response
614,Normal newborn
615,OVERDOSE
616,Obsessive-compulsive disorder
617,Obstruction
618,Ocular hyperaemia
619,Ocular vascular disorder
620,Odynophagia
621,Oedema
622,Oedema genital
623,Oedema peripheral
624,Oesophageal pain
625,Oesophageal perforation
626,Oesophagitis
627,Off label use
628,Ophthalmological examination abnormal
629,Oral herpes
630,Oral mucosal blistering
631,Oral mucosal erythema
632,Oral pain
633,Organising pneumonia
634,Oropharyngeal pain
635,Oropharyngeal spasm
636,Osteoarthritis
637,Osteomyelitis
638,Osteonecrosis
639,Osteonecrosis of jaw
640,Osteoporosis
641,Otorrhoea
642,Ovarian cyst
643,Ovarian germ cell cancer stage II
644,Overdose
645,Oxygen consumption increased
646,Oxygen saturation decreased
647,Packed red blood cell transfusion
648,Pain
649,Pain in extremity
650,Pain in jaw
651,Painful erection
